TranscriptCluster	Duke	UW
3376490	4.529819385	4.48025004
2590017	4.964231109	4.98475035
3376512	6.771501354	3.928363374
3376529	6.476750254	6.678806685
3769779	6.865720591	8.553163358
3376560	8.690245968	10.22397755
3376677	5.319303611	6.08907931
3376714	6.819930938	9.214048691
3769969	9.698984585	9.521083463
3376779	8.677196372	9.55562957
3770029	7.232318748	8.064024157
3770052	5.890966451	5.732446495
3376814	10.1888954	11.97427715
3376832	6.585018479	7.532493597
3376867	11.85990648	11.91221697
3376914	5.660855903	6.348617809
3770172	5.583935718	5.830442106
2590452	4.10132861	4.134341433
3376976	6.794015495	6.364202373
3377016	5.468426919	6.000786505
3377044	9.771464296	10.27726027
3770290	4.858392602	4.572202507
3770305	6.158230978	6.41508371
2590582	4.370696124	3.867290273
3770328	5.348861796	5.964537257
3377091	5.614528024	8.003630344
3770345	6.709197914	6.585834366
3770361	8.459079099	6.810048871
3770390	6.858919685	9.78454815
3377149	7.312692398	9.323279237
3377177	5.637691385	6.968494005
3770422	5.514062278	6.067581357
2590715	3.744923961	4.153105432
3770457	6.910253862	8.780196345
2590736	9.515011339	10.29809312
3377226	6.218955489	8.014321814
3770488	6.773442883	6.276150467
3770505	5.924441392	5.870952365
3770512	6.564282128	6.536556512
3770563	11.85880957	12.73544814
3377322	6.161268964	4.423472845
3770588	7.107130747	8.331260336
3377358	7.577611986	7.29389156
3770606	10.1540491	9.979954825
3377385	4.419596194	3.969828621
3770632	12.17166861	12.45068289
3770663	8.732177603	9.392471273
3377423	7.903062379	9.689130813
3377456	8.099788311	6.615748309
3770699	7.399743614	8.797924105
3377463	12.39901217	12.70087966
2984230	4.693870231	2.600690795
3377474	9.131716799	9.312339952
3770721	8.038212554	9.276186455
3770743	9.253439195	10.7663108
2984275	4.677309499	4.602355917
3770799	4.826736597	6.544231891
3377569	5.140320585	5.402625548
3770857	6.778466835	8.735079842
3377669	6.232577301	7.167244176
3770923	5.765737611	8.31674312
